token_id	token	etiqueta_H1	etiqueta_H2
124	on	O	O
125	t	O	O
126	ent	O	O
127	s	O	O
128	\n\n	O	O
129	 	O	O
130	C	B-ENT	O
131	H	I-ENT	O
132	A	I-ENT	O
133	P	I-ENT	O
134	T	I-ENT	O
135	E	I-ENT	O
136	R	I-ENT	O
137	 	O	O
138	I	B-ENT	O
139	.	O	O
140	    	O	O
141	 	O	O
142	D	B-ENT	O
143	own	O	O
144	 the 	O	O
145	R	B-ENT	O
146	ab	O	O
147	b	O	O
148	it	O	O
149	-	O	O
150	H	B-ENT	O
151	ol	O	O
152	e\n	O	O
153	 	O	O
154	C	B-ENT	O
155	H	I-ENT	O
156	A	I-ENT	O
157	P	I-ENT	O
158	T	I-ENT	O
159	E	I-ENT	O
160	R	I-ENT	O
161	 	O	O
162	I	B-ENT	O
163	I	I-ENT	O
164	.	O	O
165	    	O	O
166	The 	O	O
167	P	B-ENT	O
168	oo	O	O
169	l	O	O
170	 	O	O
171	of 	O	O
172	T	B-ENT	O
173	ear	O	O
174	s	O	O
175	\n	O	O
176	 	O	O
177	C	B-ENT	O
178	H	I-ENT	O
179	A	I-ENT	O
180	P	I-ENT	O
181	T	I-ENT	O
182	E	I-ENT	O
183	R	I-ENT	O
184	 	O	O
185	I	B-ENT	O
186	I	I-ENT	O
187	I	I-ENT	O
188	.	O	O
189	  	O	O
190	 	O	O
191	A	B-ENT	O
192	 	O	O
193	C	B-ENT	O
194	a	O	O
195	u	O	O
196	c	O	O
197	us	O	O
198	-	O	O
199	R	B-ENT	O
200	a	O	O
201	ce 	O	O
202	an	O	O
203	d	O	O
204	 a 	O	O
205	L	B-ENT	O
206	ong	O	O
207	 	O	O
208	T	B-ENT	O
209	al	O	O
210	e\n	O	O
211	 	O	O
212	C	B-ENT	O
213	H	I-ENT	O
214	A	I-ENT	O
215	P	I-ENT	O
216	T	I-ENT	O
217	E	I-ENT	O
218	R	I-ENT	O
219	 	O	O
220	I	B-ENT	O
221	V	I-ENT	O
222	.	O	O
223	    	O	O
224	The 	O	O
225	R	B-ENT	O
226	ab	O	O
227	b	O	O
228	it 	O	O
229	S	B-ENT	O
230	en	O	O
231	d	O	O
232	s 	O	O
233	in	O	O
234	 a 	O	O
235	L	B-ENT	O
236	it	O	O
237	tl	O	O
238	e 	O	O
239	B	B-ENT	O
240	ill	O	O
241	\n	O	O
242	 	O	O
243	C	B-ENT	O
244	H	I-ENT	O
245	A	I-ENT	O
246	P	I-ENT	O
247	T	I-ENT	O
248	E	I-ENT	O
249	R	I-ENT	O
250	 	O	O
251	V	B-ENT	O
252	.	O	O
253	    	O	O
254	 	O	O
255	A	B-ENT	O
256	d	O	O
257	v	O	O
258	i	O	O
259	ce 	O	O
260	f	O	O
261	r	O	O
262	om	O	O
263	 a 	O	O
264	C	B-ENT	O
265	at	O	O
266	er	O	O
267	p	O	O
268	ill	O	O
269	ar	O	O
270	\n	O	O
271	 	O	O
272	C	B-ENT	O
273	H	I-ENT	O
274	A	I-ENT	O
275	P	I-ENT	O
276	T	I-ENT	O
277	E	I-ENT	O
278	R	I-ENT	O
279	 	O	O
280	V	B-ENT	O
281	I	I-ENT	O
282	.	O	O
283	    	O	O
284	P	B-ENT	O
285	i	O	O
286	g	O	O
287	 and 	O	O
288	P	B-ENT	O
289	e	O	O
290	pp	O	O
291	er	O	O
292	\n	O	O
293	 	O	O
294	C	B-ENT	O
295	H	I-ENT	O
296	A	I-ENT	O
297	P	I-ENT	O
298	T	I-ENT	O
299	E	I-ENT	O
300	R	I-ENT	O
301	 	O	O
302	V	B-ENT	O
303	I	I-ENT	O
304	I	I-ENT	O
305	.	O	O
306	  	O	O
307	 	O	O
308	A	B-ENT	O
309	 	O	O
310	M	B-ENT	O
311	a	O	O
312	d 	O	O
313	T	B-ENT	O
314	ea	O	O
315	-	O	O
316	P	B-ENT	O
317	ar	O	O
318	t	O	O
319	y	O	O
320	\n	O	O
321	 	O	O
322	C	B-ENT	O
323	H	I-ENT	O
324	A	I-ENT	O
325	P	I-ENT	O
326	T	I-ENT	O
327	E	I-ENT	O
328	R	I-ENT	O
329	 	O	O
330	V	B-ENT	O
331	I	I-ENT	O
332	I	I-ENT	O
333	I	I-ENT	O
334	.	O	O
335	  	O	O
336	The 	O	O
337	Q	B-ENT	O
338	ue	O	O
339	en	O	O
340	’s 	O	O
341	C	B-ENT	O
342	ro	O	O
343	qu	O	O
344	e	O	O
345	t	O	O
346	-	O	O
347	G	B-ENT	O
348	r	O	O
349	oun	O	O
350	d	O	O
351	\n	O	O
352	 	O	O
353	C	B-ENT	O
354	H	I-ENT	O
355	A	I-ENT	O
356	P	I-ENT	O
357	T	I-ENT	O
358	E	I-ENT	O
359	R	I-ENT	O
360	 	O	O
361	I	B-ENT	O
362	X	I-ENT	O
363	.	O	O
364	    	O	O
365	The 	O	O
366	M	B-ENT	O
367	o	O	O
368	ck	O	O
369	 	O	O
370	T	B-ENT	O
371	ur	O	O
372	tl	O	O
373	e	O	O
374	’s 	O	O
375	S	B-ENT	O
376	t	O	O
377	or	O	O
378	y	O	O
379	\n	O	O
380	 	O	O
381	C	B-ENT	O
382	H	I-ENT	O
383	A	I-ENT	O
384	P	I-ENT	O
385	T	I-ENT	O
386	E	I-ENT	O
387	R	I-ENT	O
388	 	O	O
389	X	B-ENT	O
390	.	O	O
391	    	O	O
392	 	O	O
393	The 	O	O
394	L	B-ENT	O
395	o	O	O
396	b	O	O
397	st	O	O
398	er	O	O
399	 	O	O
400	Q	B-ENT	O
401	u	O	O
402	a	O	O
403	d	O	O
404	ri	O	O
405	ll	O	O
406	e\n	O	O
407	 	O	O
408	C	B-ENT	O
409	H	I-ENT	O
410	A	I-ENT	O
411	P	I-ENT	O
412	T	I-ENT	O
413	E	I-ENT	O
414	R	I-ENT	O
415	 	O	O
416	X	B-ENT	O
417	I	I-ENT	O
418	.	O	O
419	    	O	O
420	W	B-ENT	O
421	h	O	O
422	o 	O	O
423	S	B-ENT	O
424	to	O	O
425	l	O	O
426	e th	O	O
427	e 	O	O
428	T	B-ENT	O
429	ar	O	O
430	t	O	O
431	s	O	O
432	?	O	O
433	\n	O	O
434	 	O	O
435	C	B-ENT	O
436	H	I-ENT	O
437	A	I-ENT	O
438	P	I-ENT	O
439	T	I-ENT	O
440	E	I-ENT	O
441	R	I-ENT	O
442	 	O	O
443	X	B-ENT	O
444	I	I-ENT	O
445	I	I-ENT	O
446	.	O	O
447	  	O	O
448	 	O	O
449	Alice	B-ENT	B-ENT
450	’s 	O	O
451	E	B-ENT	O
452	v	O	O
453	id	O	O
454	en	O	O
455	ce	O	O
456	\n\n	O	O
457	\n\n	O	O
458	\n	O	O
459	C	O	O
460	H	B-ENT	O
461	A	I-ENT	O
462	P	I-ENT	O
463	T	I-ENT	O
464	E	I-ENT	O
465	R	I-ENT	O
466	 	O	O
467	I	B-ENT	O
468	.	O	O
469	\n	O	O
470	D	O	O
471	own	O	O
472	 the 	O	O
473	R	B-ENT	O
474	ab	O	O
475	b	O	O
476	it	O	O
477	-	O	O
478	H	B-ENT	O
479	o	O	O
480	le	O	O
481	\n\n	O	O
482	\n	O	O
483	Alice 	O	O
484	was 	O	O
485	beg	O	O
486	in	O	O
487	n	O	O
488	ing	O	O
489	 to 	O	O
490	ge	O	O
491	t 	O	O
492	ver	O	O
493	y	O	O
494	 t	O	O
495	ir	O	O
496	ed 	O	O
497	of	O	O
498	 s	O	O
499	it	O	O
500	t	O	O
501	ing 	O	O
502	b	O	O
503	y 	O	O
504	her	O	O
505	 s	O	O
506	is	O	O
507	ter	O	O
508	 	O	O
509	on	O	O
510	 the\n	O	O
511	b	O	O
512	an	O	O
513	k	O	O
514	, and 	O	O
515	of 	O	O
516	ha	O	O
517	v	O	O
518	ing 	O	O
519	no	O	O
520	th	O	O
521	ing	O	O
522	 to 	O	O
523	do	O	O
524	:	O	O
525	 	O	O
526	on	O	O
527	ce 	O	O
528	or	O	O
529	 t	O	O
530	w	O	O
531	i	O	O
532	ce 	O	O
533	she 	O	O
534	had 	O	O
535	p	O	O
536	ee	O	O
537	p	O	O
538	ed 	O	O
539	in	O	O
540	to	O	O
541	\nth	O	O
542	e 	O	O
543	b	O	O
544	ook	O	O
545	 	O	O
546	her	O	O
547	 s	O	O
548	is	O	O
549	ter	O	O
550	 	O	O
551	was 	O	O
552	rea	O	O
553	d	O	O
554	ing	O	O
555	, 	O	O
556	but 	O	O
557	it 	O	O
558	had 	O	O
559	n	O	O
560	o 	O	O
561	p	O	O
562	i	O	O
563	c	O	O
564	t	O	O
565	ur	O	O
566	es 	O	O
567	or	O	O
568	\n	O	O
569	c	O	O
570	on	O	O
571	ver	O	O
572	s	O	O
573	at	O	O
574	i	O	O
575	on	O	O
576	s 	O	O
577	in 	O	O
578	it	O	O
579	, “	O	O
580	and 	O	O
581	w	O	O
582	hat 	O	O
583	is	O	O
584	 the 	O	O
585	us	O	O
586	e 	O	O
587	of	O	O
588	 a 	O	O
589	b	O	O
590	ook	O	O
591	,”	O	O
592	 th	O	O
593	ough	O	O
594	t 	O	O
595	Alic	B-ENT	B-ENT
596	e\n	O	O
597	“	O	O
598	with	O	O
599	out 	O	O
600	p	O	O
601	i	O	O
602	c	O	O
603	t	O	O
604	ur	O	O
605	es 	O	O
606	or 	O	O
607	c	O	O
608	on	O	O
609	ver	O	O
610	s	O	O
611	at	O	O
612	i	O	O
613	on	O	O
614	s	O	O
615	?”	O	O
616	\n\n	O	O
617	S	O	O
618	o	O	O
619	 she 	O	O
620	was 	O	O
621	c	O	O
622	on	O	O
623	s	O	O
624	id	O	O
625	er	O	O
626	ing 	O	O
627	in 	O	O
628	her 	O	O
629	own	O	O
630	 	O	O
631	m	O	O
632	in	O	O
633	d 	O	O
634	(	O	O
635	a	O	O
636	s 	O	O
637	w	O	O
638	e	O	O
639	ll	O	O
640	 as	O	O
641	 she 	O	O
642	c	O	O
643	oul	O	O
644	d	O	O
645	, 	O	O
646	for	O	O
647	 the\n	O	O
648	h	O	O
649	o	O	O
650	t 	O	O
651	d	O	O
652	a	O	O
653	y 	O	O
654	ma	O	O
655	d	O	O
656	e 	O	O
657	her 	O	O
658	f	O	O
659	ee	O	O
660	l	O	O
661	 	O	O
662	ver	O	O
663	y	O	O
664	 s	O	O
665	l	O	O
666	ee	O	O
667	p	O	O
668	y	O	O
669	 and 	O	O
670	st	O	O
671	up	O	O
672	id	O	O
673	)	O	O
674	, 	O	O
675	wh	O	O
676	e	O	O
677	ther	O	O
678	 the 	O	O
679	p	O	O
680	l	O	O
681	ea	O	O
682	s	O	O
683	ur	O	O
684	e 	O	O
685	of	O	O
686	\n	O	O
687	ma	O	O
688	k	O	O
689	ing	O	O
690	 a 	O	O
691	d	O	O
692	ai	O	O
693	s	O	O
694	y	O	O
695	-	O	O
696	c	O	O
697	ha	O	O
698	in	O	O
699	 w	O	O
700	ould 	O	O
701	be 	O	O
702	w	O	O
703	or	O	O
704	th	O	O
705	 the 	O	O
706	t	O	O
707	r	O	O
708	ou	O	O
709	b	O	O
710	l	O	O
711	e 	O	O
712	of 	O	O
713	ge	O	O
714	t	O	O
715	t	O	O
716	ing 	O	O
717	up	O	O
718	 and	O	O
719	\n	O	O
720	p	O	O
721	i	O	O
722	ck	O	O
723	ing	O	O
724	 the 	O	O
725	d	O	O
726	ai	O	O
727	s	O	O
728	i	O	O
729	es	O	O
730	, 	O	O
731	wh	O	O
732	en	O	O
733	 s	O	O
734	u	O	O
735	d	O	O
736	d	O	O
737	en	O	O
738	ly	O	O
739	 a 	O	O
740	W	B-ENT	O
741	h	O	O
742	ite 	O	O
743	R	B-ENT	O
744	ab	O	O
745	b	O	O
746	it 	O	O
747	with	O	O
748	 	O	O
749	p	O	O
750	ink	O	O
751	 	O	O
752	e	O	O
753	y	O	O
754	es 	O	O
755	r	O	O
756	an	O	O
757	\n	O	O
758	c	O	O
759	l	O	O
760	o	O	O
761	se 	O	O
762	b	O	O
763	y 	O	O
764	her	O	O
765	.\n\n	O	O
766	T	O	O
767	her	O	O
768	e 	O	O
769	was 	O	O
770	no	O	O
771	th	O	O
772	ing	O	O
773	 s	O	O
774	o 	O	O
775	_	O	O
776	ver	O	O
777	y	O	O
778	_ 	O	O
779	re	O	O
780	m	O	O
781	ar	O	O
782	k	O	O
783	ab	O	O
784	l	O	O
785	e 	O	O
786	in	O	O
787	 th	O	O
788	at	O	O
789	;	O	O
790	 	O	O
791	n	O	O
792	or 	O	O
793	di	O	O
794	d 	O	O
795	Alice 	O	O
796	th	O	O
797	ink	O	O
798	 	O	O
799	it	O	O
800	\n	O	O
801	s	O	O
802	o 	O	O
803	_	O	O
804	ver	O	O
805	y	O	O
806	_ 	O	O
807	m	O	O
808	uch	O	O
809	 	O	O
810	out 	O	O
811	of the 	O	O
812	wa	O	O
813	y	O	O
814	 to 	O	O
815	h	O	O
816	ear	O	O
817	 the 	O	O
818	R	B-ENT	O
819	ab	O	O
820	b	O	O
821	it 	O	O
822	s	O	O
823	ay	O	O
824	 to 	O	O
825	it	O	O
826	self	O	O
827	, “	O	O
828	O	B-ENT	O
829	h	O	O
830	\n	O	O
831	d	O	O
832	ear	O	O
833	! 	O	O
834	O	B-ENT	O
835	h	O	O
836	 	O	O
837	d	O	O
838	ear	O	O
839	! 	O	O
840	I	B-ENT	O
841	 s	O	O
842	ha	O	O
843	ll 	O	O
844	be 	O	O
845	l	O	O
846	at	O	O
847	e	O	O
848	!”	O	O
849	 	O	O
850	(	O	O
851	wh	O	O
852	en	O	O
853	 she 	O	O
854	th	O	O
855	ough	O	O
856	t 	O	O
857	it 	O	O
858	o	O	O
859	ver	O	O
860	 a	O	O
861	f	O	O
862	ter	O	O
863	wa	O	O
864	r	O	O
865	d	O	O
866	s	O	O
867	,\n	O	O
868	it 	O	O
869	o	O	O
870	c	O	O
871	c	O	O
872	ur	O	O
873	r	O	O
874	ed	O	O
875	 to 	O	O
876	her	O	O
877	 that 	O	O
878	she 	O	O
879	ough	O	O
880	t	O	O
881	 to 	O	O
882	ha	O	O
883	ve 	O	O
884	w	O	O
885	on	O	O
886	der	O	O
887	ed	O	O
888	 at	O	O
889	 th	O	O
890	is	O	O
891	, 	O	O
892	bu	O	O
893	t	O	O
894	 at	O	O
895	 the\n	O	O
896	ti	O	O
897	me 	O	O
898	it	O	O
899	 all	O	O
900	 s	O	O
901	ee	O	O
902	m	O	O
903	ed 	O	O
904	qu	O	O
905	ite 	O	O
906	n	O	O
907	at	O	O
908	ur	O	O
909	al	O	O
910	)	O	O
911	;	O	O
912	 	O	O
913	but 	O	O
914	wh	O	O
915	en	O	O
916	 the 	O	O
917	R	B-ENT	O
918	ab	O	O
919	b	O	O
920	it	O	O
921	 a	O	O
922	c	O	O
923	t	O	O
924	u	O	O
925	a	O	O
926	ll	O	O
927	y 	O	O
928	_	O	O
929	t	O	O
930	ook	O	O
931	 a	O	O
932	\n	O	O
933	wa	O	O
934	t	O	O
935	ch 	O	O
936	out 	O	O
937	of 	O	O
938	it	O	O
939	s 	O	O
940	wa	O	O
941	is	O	O
942	t	O	O
943	c	O	O
944	o	O	O
945	at	O	O
946	-	O	O
947	po	O	O
948	ck	O	O
949	e	O	O
950	t	O	O
951	_	O	O
952	, and 	O	O
953	look	O	O
954	ed	O	O
955	 a	O	O
956	t 	O	O
957	it	O	O
958	, and	O	O
959	 th	O	O
960	en 	O	O
961	h	O	O
962	ur	O	O
963	ri	O	O
964	ed	O	O
965	\n	O	O
966	on	O	O
967	, 	O	O
968	Alice 	O	O
969	st	O	O
970	ar	O	O
971	t	O	O
972	ed	O	O
973	 to 	O	O
974	her 	O	O
975	f	O	O
976	ee	O	O
977	t	O	O
978	, 	O	O
979	for	O	O
980	 	O	O
981	it 	O	O
982	f	O	O
983	la	O	O
984	sh	O	O
985	ed	O	O
986	 a	O	O
987	c	O	O
988	ro	O	O
989	s	O	O
990	s 	O	O
991	her 	O	O
992	m	O	O
993	in	O	O
994	d	O	O
995	 that 	O	O
996	sh	O	O
997	e\n	O	O
998	had 	O	O
999	n	O	O
1000	ever	O	O
1001	 	O	O
1002	be	O	O
1003	for	O	O
1004	e 	O	O
1005	se	O	O
1006	en	O	O
1007	 a 	O	O
1008	r	O	O
1009	ab	O	O
1010	b	O	O
1011	it 	O	O
1012	with	O	O
1013	 	O	O
1014	e	O	O
1015	ith	O	O
1016	er	O	O
1017	 a 	O	O
1018	wa	O	O
1019	is	O	O
1020	t	O	O
1021	c	O	O
1022	o	O	O
1023	at	O	O
1024	-	O	O
1025	po	O	O
1026	ck	O	O
1027	e	O	O
1028	t	O	O
1029	, 	O	O
1030	or	O	O
1031	 a	O	O
1032	\n	O	O
1033	wa	O	O
1034	t	O	O
1035	ch	O	O
1036	 to	O	O
1037	 t	O	O
1038	a	O	O
1039	ke 	O	O
1040	out 	O	O
1041	of 	O	O
1042	it	O	O
1043	, and 	O	O
1044	b	O	O
1045	ur	O	O
1046	n	O	O
1047	ing 	O	O
1048	with	O	O
1049	 	O	O
1050	c	O	O
1051	ur	O	O
1052	i	O	O
1053	o	O	O
1054	s	O	O
1055	it	O	O
1056	y	O	O
1057	,	O	O
1058	 she 	O	O
1059	r	O	O
1060	an	O	O
1061	 a	O	O
1062	c	O	O
1063	ro	O	O
1064	s	O	O
1065	s	O	O
1066	 the\n	O	O
1067	f	O	O
1068	i	O	O
1069	el	O	O
1070	d	O	O
1071	 a	O	O
1072	f	O	O
1073	ter	O	O
1074	 	O	O
1075	it	O	O
1076	, and 	O	O
1077	for	O	O
1078	t	O	O
1079	un	O	O
1080	at	O	O
1081	e	O	O
1082	ly 	O	O
1083	was 	O	O
1084	j	O	O
1085	us	O	O
1086	t 	O	O
1087	in	O	O
1088	 t	O	O
1089	i	O	O
1090	me 	O	O
1091	to	O	O
1092	 s	O	O
1093	e	O	O
1094	e 	O	O
1095	it 	O	O
1096	po	O	O
1097	p	O	O
1098	 	O	O
1099	down	O	O
1100	 a	O	O
1101	\n	O	O
1102	l	O	O
1103	ar	O	O
1104	g	O	O
1105	e 	O	O
1106	r	O	O
1107	ab	O	O
1108	b	O	O
1109	it	O	O
1110	-	O	O
1111	h	O	O
1112	ol	O	O
1113	e 	O	O
1114	un	O	O
1115	der	O	O
1116	 the 	O	O
1117	h	O	O
1118	ed	O	O
1119	ge	O	O
1120	.\n\n	O	O
1121	I	O	O
1122	n	O	O
1123	 an	O	O
1124	o	O	O
1125	ther	O	O
1126	 	O	O
1127	m	O	O
1128	om	O	O
1129	ent 	O	O
1130	down	O	O
1131	 w	O	O
1132	ent 	O	O
1133	Alice 	O	O
1134	a	O	O
1135	f	O	O
1136	ter	O	O
1137	 	O	O
1138	it	O	O
1139	, 	O	O
1140	n	O	O
1141	ever	O	O
1142	 	O	O
1143	on	O	O
1144	ce 	O	O
1145	c	O	O
1146	on	O	O
1147	s	O	O
1148	id	O	O
1149	er	O	O
1150	ing 	O	O
1151	h	O	O
1152	ow	O	O
1153	\n	O	O
1154	in	O	O
1155	 the 	O	O
1156	w	O	O
1157	or	O	O
1158	l	O	O
1159	d 	O	O
1160	she 	O	O
1161	was	O	O
1162	 to 	O	O
1163	ge	O	O
1164	t 	O	O
1165	out	O	O
1166	 a	O	O
1167	gain	O	O
1168	.\n\n	O	O
1169	The 	O	O
1170	r	O	O
1171	ab	O	O
1172	b	O	O
1173	it	O	O
1174	-	O	O
1175	h	O	O
1176	ol	O	O
1177	e 	O	O
1178	w	O	O
1179	ent 	O	O
1180	st	O	O
1181	r	O	O
1182	ai	O	O
1183	gh	O	O
1184	t 	O	O
1185	on 	O	O
1186	li	O	O
1187	ke 	O	O
1188	a	O	O
1189	 t	O	O
1190	un	O	O
1191	n	O	O
1192	el	O	O
1193	 	O	O
1194	for	O	O
1195	 s	O	O
1196	ome 	O	O
1197	wa	O	O
1198	y	O	O
1199	, and	O	O
1200	 th	O	O
1201	en	O	O
1202	\n	O	O
1203	di	O	O
1204	pp	O	O
1205	ed 	O	O
1206	s	O	O
1207	u	O	O
1208	d	O	O
1209	d	O	O
1210	en	O	O
1211	ly 	O	O
1212	down	O	O
1213	,	O	O
1214	 s	O	O
1215	o	O	O
1216	 s	O	O
1217	u	O	O
1218	d	O	O
1219	d	O	O
1220	en	O	O
1221	ly	O	O
1222	 that 	O	O
1223	Alice 	O	O
1224	had 	O	O
1225	no	O	O
1226	t	O	O
1227	 a 	O	O
1228	m	O	O
1229	om	O	O
1230	ent	O	O
1231	 to	O	O
1232	 th	O	O
1233	ink	O	O
1234	\n	O	O
1235	ab	O	O
1236	out 	O	O
1237	st	O	O
1238	o	O	O
1239	pp	O	O
1240	ing 	O	O
1241	herself	O	O
1242	 	O	O
1243	be	O	O
1244	for	O	O
1245	e 	O	O
1246	she 	O	O
1247	f	O	O
1248	oun	O	O
1249	d 	O	O
1250	herself	O	O
1251	 	O	O
1252	f	O	O
1253	a	O	O
1254	ll	O	O
1255	ing 	O	O
1256	down	O	O
1257	 a 	O	O
1258	ver	O	O
1259	y	O	O
1260	\n	O	O
1261	d	O	O
1262	ee	O	O
1263	p	O	O
1264	 w	O	O
1265	e	O	O
1266	ll	O	O
1267	.\n\n	O	O
1268	E	O	O
1269	ith	O	O
1270	er	O	O
1271	 the 	O	O
1272	w	O	O
1273	e	O	O
1274	ll 	O	O
1275	was 	O	O
1276	very 	O	O
1277	d	O	O
1278	ee	O	O
1279	p	O	O
1280	, 	O	O
1281	or	O	O
1282	 she 	O	O
1283	f	O	O
1284	e	O	O
1285	ll 	O	O
1286	ver	O	O
1287	y	O	O
1288	 s	O	O
1289	l	O	O
1290	ow	O	O
1291	ly	O	O
1292	, 	O	O
1293	for	O	O
1294	 she 	O	O
1295	ha	O	O
1296	d	O	O
1297	\n	O	O
1298	p	O	O
1299	l	O	O
1300	ent	O	O
1301	y 	O	O
1302	of	O	O
1303	 t	O	O
1304	i	O	O
1305	me 	O	O
1306	a	O	O
1307	s	O	O
1308	 she 	O	O
1309	w	O	O
1310	ent 	O	O
1311	down	O	O
1312	 to 	O	O
1313	look	O	O
1314	 ab	O	O
1315	out 	O	O
1316	her	O	O
1317	 and	O	O
1318	 to 	O	O
1319	w	O	O
1320	on	O	O
1321	der	O	O
1322	 w	O	O
1323	hat	O	O
1324	\n	O	O
1325	was 	O	O
1326	go	O	O
1327	ing	O	O
1328	 to 	O	O
1329	ha	O	O
1330	pp	O	O
1331	en 	O	O
1332	n	O	O
1333	ex	O	O
1334	t	O	O
1335	. 	O	O
1336	F	B-ENT	O
1337	ir	O	O
1338	st	O	O
1339	,	O	O
1340	 she 	O	O
1341	t	O	O
1342	ri	O	O
1343	ed	O	O
1344	 to 	O	O
1345	look	O	O
1346	 	O	O
1347	down	O	O
1348	 and 	O	O
1349	ma	O	O
1350	ke 	O	O
1351	out	O	O
1352	\n	O	O
1353	w	O	O
1354	hat 	O	O
1355	she 	O	O
1356	was 	O	O
1357	c	O	O
1358	om	O	O
1359	ing	O	O
1360	 to	O	O
1361	, 	O	O
1362	but 	O	O
1363	it 	O	O
1364	was	O	O
1365	 to	O	O
1366	o 	O	O
1367	d	O	O
1368	ar	O	O
1369	k	O	O
1370	 to	O	O
1371	 s	O	O
1372	e	O	O
1373	e 	O	O
1374	an	O	O
1375	y	O	O
1376	th	O	O
1377	ing	O	O
1378	;	O	O
1379	 th	O	O
1380	en	O	O
1381	 sh	O	O
1382	e\n	O	O
1383	look	O	O
1384	ed	O	O
1385	 at	O	O
1386	 the 	O	O
1387	s	O	O
1388	id	O	O
1389	es 	O	O
1390	of the 	O	O
1391	w	O	O
1392	e	O	O
1393	ll	O	O
1394	, and 	O	O
1395	no	O	O
1396	ti	O	O
1397	c	O	O
1398	ed	O	O
1399	 th	O	O
1400	at	O	O
1401	 the	O	O
1402	y 	O	O
1403	w	O	O
1404	ere 	O	O
1405	f	O	O
1406	ill	O	O
1407	ed 	O	O
1408	with	O	O
1409	\n	O	O
1410	c	O	O
1411	up	O	O
1412	b	O	O
1413	o	O	O
1414	ar	O	O
1415	d	O	O
1416	s	O	O
1417	 and 	O	O
1418	b	O	O
1419	ook	O	O
1420	-	O	O
1421	sh	O	O
1422	el	O	O
1423	v	O	O
1424	es	O	O
1425	;	O	O
1426	 	O	O
1427	her	O	O
1428	e 	O	O
1429	an	O	O
1430	d	O	O
1431	 th	O	O
1432	ere 	O	O
1433	she 	O	O
1434	s	O	O
1435	a	O	O
1436	w	O	O
1437	 	O	O
1438	ma	O	O
1439	p	O	O
1440	s	O	O
1441	 and 	O	O
1442	p	O	O
1443	i	O	O
1444	c	O	O
1445	t	O	O
1446	ur	O	O
1447	es	O	O
1448	\n	O	O
1449	h	O	O
1450	un	O	O
1451	g	O	O
1452	 	O	O
1453	up	O	O
1454	on 	O	O
1455	p	O	O
1456	e	O	O
1457	g	O	O
1458	s	O	O
1459	. 	O	O
1460	S	B-ENT	O
1461	he 	O	O
1462	t	O	O
1463	ook	O	O
1464	 	O	O
1465	down	O	O
1466	 a 	O	O
1467	j	O	O
1468	ar	O	O
1469	 	O	O
1470	f	O	O
1471	r	O	O
1472	om	O	O
1473	 	O	O
1474	one 	O	O
1475	of the 	O	O
1476	sh	O	O
